Order,Company,Index,File/Directory,Number,Percent,PercentAll
By changed lines,VMware,9,pkg/volume/photon_pd,1492,44.142,0.189
By changed lines,VMware,9,pkg/cloudprovider/providers,1013,29.97,0.128
By changed lines,VMware,9,pkg/cloudprovider/providers/photon,896,26.509,0.114
By changed lines,VMware,9,pkg/cloudprovider/providers/photon/photon.go,639,18.905,0.081
By changed lines,VMware,9,examples,499,14.763,0.063
By changed lines,VMware,9,examples/volumes/vsphere,483,14.29,0.061
By changed lines,VMware,9,pkg/volume/photon_pd/photon_pd.go,397,11.746,0.05
By changed lines,VMware,9,examples/volumes/vsphere/README.md,372,11.006,0.047
By changed lines,VMware,9,pkg/volume/photon_pd/attacher_test.go,328,9.704,0.042
By changed lines,VMware,9,pkg/volume/photon_pd/attacher.go,305,9.024,0.039
By changed lines,VMware,9,pkg/volume/photon_pd/photon_pd_test.go,239,7.071,0.03
By changed lines,VMware,9,pkg/cloudprovider/providers/photon/photon_test.go,216,6.391,0.027
By changed lines,VMware,9,pkg/volume/photon_pd/photon_util.go,163,4.822,0.021
By changed lines,VMware,9,cluster,145,4.29,0.018
By changed lines,VMware,9,cluster/vsphere,139,4.112,0.018
By changed lines,VMware,9,pkg/cloudprovider/providers/vsphere,115,3.402,0.015
By changed lines,VMware,9,api/swagger-spec,109,3.225,0.014
By changed lines,VMware,9,pkg/cloudprovider/providers/vsphere/vsphere.go,109,3.225,0.014
By changed lines,VMware,9,cluster/vsphere/util.sh,87,2.574,0.011
By changed lines,VMware,9,pkg/volume/photon_pd/BUILD,56,1.657,0.007
All By changed lines,Huawei,10,"",1789,0.227,0.227
By changed lines,Huawei,10,test,851,47.568,0.108
By changed lines,Huawei,10,test/e2e,735,41.084,0.093
By changed lines,Huawei,10,pkg,649,36.277,0.082
By changed lines,Huawei,10,pkg/controller,515,28.787,0.065
By changed lines,Huawei,10,pkg/controller/petset,251,14.03,0.032
By changed lines,Huawei,10,test/e2e/cluster_upgrade.go,227,12.689,0.029
By changed lines,Huawei,10,federation,216,12.074,0.027
By changed lines,Huawei,10,federation/pkg,215,12.018,0.027
By changed lines,Huawei,10,federation/pkg/federation-controller,185,10.341,0.023
By changed lines,Huawei,10,pkg/controller/petset/pet_test.go,177,9.894,0.022
By changed lines,Huawei,10,federation/pkg/federation-controller/service,123,6.875,0.016
