repo,rank_number,actor,company,commits,percent,all_commits
jshttp/http-errors,3,tkrotoff,(Unknown),2,0.00052,385483
jshttp/mime-db,1,dougwilson,Salesforce,547,0.14190,385483
jshttp/mime-db,2,alrra,(Unknown),6,0.00156,385483
jshttp/mime-db,3,rmzelle,(Unknown),5,0.00130,385483
jshttp/mime-types,1,dougwilson,Salesforce,242,0.06278,385483
jshttp/mime-types,2,dougwilson,Independent,4,0.00104,385483
jshttp/mime-types,3,thiagodelgado111,(Unknown),2,0.00052,385483
jshttp/statuses,1,dougwilson,Salesforce,169,0.04384,385483
jshttp/statuses,2,dougwilson,Independent,1,0.00026,385483
jshttp/statuses,3,DylanPiercey,(Unknown),1,0.00026,385483
juliangruber/balanced-match,1,juliangruber,NowSecure,39,0.01012,385483
juliangruber/balanced-match,2,neytema,(Unknown),7,0.00182,385483
juliangruber/balanced-match,3,stevemao,(Unknown),5,0.00130,385483
juliangruber/brace-expansion,1,juliangruber,NowSecure,41,0.01064,385483
juliangruber/brace-expansion,2,juliangruber,Code for Science and Society,21,0.00545,385483
juliangruber/brace-expansion,3,juliangruber,Kerngedanke,3,0.00078,385483
juliangruber/isarray,1,juliangruber,Code for Science and Society,23,0.00597,385483
juliangruber/isarray,2,juliangruber,NowSecure,4,0.00104,385483
juliangruber/isarray,3,juliangruber,Kerngedanke,3,0.00078,385483
kelektiv/node-uuid,1,broofa,Tend.ai,123,0.03191,385483
kelektiv/node-uuid,2,ctavan,(Unknown),14,0.00363,385483
kelektiv/node-uuid,3,defunctzombie,(Unknown),14,0.00363,385483
kennethreitz/requests,1,Lukasa,Hewlett,623,0.16162,385483
kennethreitz/requests,2,kennethreitz,Heroku,571,0.14813,385483
kennethreitz/requests,3,sigmavirus24,Rackspace,193,0.05007,385483
ljharb/qs,1,ljharb,Airbnb,259,0.06719,385483
ljharb/qs,2,ljharb,Ecma,15,0.00389,385483
ljharb/qs,3,papandreou,(Unknown),13,0.00337,385483
lodash/lodash,1,jdalton,Microsoft,8147,2.11345,385483
lodash/lodash,2,jdalton,Salesforce,105,0.02724,385483
lodash/lodash,3,falsyvalues,(Unknown),90,0.02335,385483
madler/zlib,1,madler,(Unknown),152,0.03943,385483
mafintosh/end-of-stream,1,mafintosh,(Unknown),21,0.00545,385483
mafintosh/end-of-stream,2,watson,Opbeat,2,0.00052,385483
mafintosh/end-of-stream,3,floatdrop,(Unknown),1,0.00026,385483
maxogden/concat-stream,1,mafintosh,(Unknown),18,0.00467,385483
maxogden/concat-stream,2,maxogden,(Unknown),16,0.00415,385483
maxogden/concat-stream,3,AndersDJohnson,(Unknown),1,0.00026,385483
mcavage/node-assert-plus,1,pfmooney,(Unknown),14,0.00363,385483
mcavage/node-assert-plus,2,bahamas10,(Unknown),2,0.00052,385483
mcavage/node-assert-plus,3,trentm,(Unknown),1,0.00026,385483
mde/ejs,1,mde,Zenefits,289,0.07497,385483
mde/ejs,2,TimothyGu,Independent,266,0.06900,385483
mde/ejs,3,RyanZim,(Unknown),64,0.01660,385483
micromatch/braces,1,jonschlinkert,Sellside,62,0.01608,385483
micromatch/braces,2,paulmillr,(Unknown),6,0.00156,385483
micromatch/braces,3,doowb,(Unknown),1,0.00026,385483
micromatch/micromatch,1,jonschlinkert,Sellside,143,0.03710,385483
micromatch/micromatch,2,doowb,(Unknown),6,0.00156,385483
micromatch/micromatch,3,mrmlnc,Yandex,4,0.00104,385483
mikeal/tunnel-agent,1,mikeal,CNCF,2,0.00052,385483
mikeal/tunnel-agent,2,garthk,(Unknown),1,0.00026,385483
Modernizr/Modernizr,1,patrickkettner,Microsoft,719,0.18652,385483
Modernizr/Modernizr,2,rejas,Neofonie,475,0.12322,385483
Modernizr/Modernizr,3,patrickkettner,Walmart,202,0.05240,385483
moment/moment,1,ichernev,(Unknown),1294,0.33568,385483
moment/moment,2,marwahaha,Pandora,120,0.03113,385483
moment/moment,3,butterflyhug,(Unknown),99,0.02568,385483
moment/moment-timezone,1,timrwood,(Unknown),143,0.03710,385483
moment/moment-timezone,2,mj1856,Microsoft,100,0.02594,385483
moment/moment-timezone,3,ellenaua,Waverley,94,0.02438,385483
motdotla/dotenv,1,motdotla,(Unknown),71,0.01842,385483
motdotla/dotenv,2,maxbeatty,CTO,67,0.01738,385483
motdotla/dotenv,3,maxbeatty,Rubicon,38,0.00986,385483
moxystudio/node-cross-spawn,1,satazor,(Unknown),62,0.01608,385483
moxystudio/node-cross-spawn,2,edevil,Bright Pixel,56,0.01453,385483
moxystudio/node-cross-spawn,3,ChALkeR,(Unknown),1,0.00026,385483
mozilla/source-map,1,fitzgen,(Unknown),220,0.05707,385483
mozilla/source-map,2,tromey,(Unknown),56,0.01453,385483
mozilla/source-map,3,loganfsmyth,(Unknown),17,0.00441,385483
mysql-net/MySqlConnector,1,bgrainger,Faithlife,1828,0.47421,385483
mysql-net/MySqlConnector,2,caleblloyd,Issuer Direct,99,0.02568,385483
mysql-net/MySqlConnector,3,caleblloyd,BoxBoat,32,0.00830,385483
nanjingboy/uglify,1,nanjingboy,(Unknown),5,0.00130,385483
nanjingboy/uglify,2,dcousens,(Unknown),1,0.00026,385483
necolas/normalize.css,1,jonathantneal,10up,173,0.04488,385483
necolas/normalize.css,2,jonathantneal,Independent,31,0.00804,385483
necolas/normalize.css,3,necolas,Twitter,19,0.00493,385483
ng-bootstrap/ng-bootstrap,1,pkozlowski-opensource,Independent,836,0.21687,385483
ng-bootstrap/ng-bootstrap,2,maxokorokov,Amadeus,446,0.11570,385483
