rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
462,aisera-mikowski,9,0.00329,27279,9.95787,273944
463,AlmeroSteyn,9,0.00329,27288,9.96116,273944
464,angelsanz,9,0.00329,27297,9.96445,273944
465,antonmoiseev,9,0.00329,27306,9.96773,273944
466,bkyarger,9,0.00329,27315,9.97102,273944
467,Borkason,9,0.00329,27324,9.97430,273944
468,boyter,9,0.00329,27333,9.97759,273944
469,bradwestfall,9,0.00329,27342,9.98087,273944
470,Brocco,9,0.00329,27351,9.98416,273944
471,caiquecastro,9,0.00329,27360,9.98744,273944
472,chrisblossom,9,0.00329,27369,9.99073,273944
473,Corbzilla,9,0.00329,27378,9.99401,273944
474,crandmck,9,0.00329,27387,9.99730,273944
475,cscott,9,0.00329,27396,10.00058,273944
476,Delagen,9,0.00329,27405,10.00387,273944
477,denisx,9,0.00329,27414,10.00715,273944
478,dercodercom,9,0.00329,27423,10.01044,273944
479,dulybon1,9,0.00329,27432,10.01373,273944
480,eddiemonge,9,0.00329,27441,10.01701,273944
481,ejball,9,0.00329,27450,10.02030,273944
482,ericnakagawa,9,0.00329,27459,10.02358,273944
483,ExE-Boss,9,0.00329,27468,10.02687,273944
484,EzyHow,9,0.00329,27477,10.03015,273944
485,FezVrasta,9,0.00329,27486,10.03344,273944
486,florisverburg,9,0.00329,27495,10.03672,273944
487,gabrielmaldi,9,0.00329,27504,10.04001,273944
488,Gnbrkm41,9,0.00329,27513,10.04329,273944
489,gricey432,9,0.00329,27522,10.04658,273944
490,hannahhoward,9,0.00329,27531,10.04986,273944
491,H--o-l,9,0.00329,27540,10.05315,273944
492,howardcox,9,0.00329,27549,10.05643,273944
493,hterkelsen,9,0.00329,27558,10.05972,273944
494,ItaloBC,9,0.00329,27567,10.06301,273944
495,jarstelfox,9,0.00329,27576,10.06629,273944
496,jddxf,9,0.00329,27585,10.06958,273944
497,jipexu,9,0.00329,27594,10.07286,273944
498,jmm,9,0.00329,27603,10.07615,273944
499,jorrit,9,0.00329,27612,10.07943,273944
500,julian-hecker,9,0.00329,27621,10.08272,273944
501,kseamon,9,0.00329,27630,10.08600,273944
502,laggingreflex,9,0.00329,27639,10.08929,273944
503,LayZeeDK,9,0.00329,27648,10.09257,273944
504,luhenry,9,0.00329,27657,10.09586,273944
505,MartinKolarik,9,0.00329,27666,10.09914,273944
506,mbehrlich,9,0.00329,27675,10.10243,273944
507,mysticatea,9,0.00329,27684,10.10572,273944
508,nietras,9,0.00329,27693,10.10900,273944
509,noloader,9,0.00329,27702,10.11229,273944
510,oBusk,9,0.00329,27711,10.11557,273944
511,pablocrivella,9,0.00329,27720,10.11886,273944
512,palerdot,9,0.00329,27729,10.12214,273944
513,parammittal16,9,0.00329,27738,10.12543,273944
514,performantdata,9,0.00329,27747,10.12871,273944
515,pixelastic,9,0.00329,27756,10.13200,273944
516,PowerKiKi,9,0.00329,27765,10.13528,273944
517,pravdomil,9,0.00329,27774,10.13857,273944
518,Raynos,9,0.00329,27783,10.14185,273944
519,rickbeerendonk,9,0.00329,27792,10.14514,273944
520,rorygraves,9,0.00329,27801,10.14842,273944
521,Rychu-Pawel,9,0.00329,27810,10.15171,273944
522,sabruss,9,0.00329,27819,10.15500,273944
523,sam1013,9,0.00329,27828,10.15828,273944
524,schwastek,9,0.00329,27837,10.16157,273944
525,shiftylogic,9,0.00329,27846,10.16485,273944
526,SpicyDwarf,9,0.00329,27855,10.16814,273944
527,stakx,9,0.00329,27864,10.17142,273944
528,steelsojka,9,0.00329,27873,10.17471,273944
529,Suresh918,9,0.00329,27882,10.17799,273944
530,thlorenz,9,0.00329,27891,10.18128,273944
531,thymikee,9,0.00329,27900,10.18456,273944
