Order,Company,Index,File/Directory,Number,Percent
By changed lines,NotFound,17,/pkg/util,83,11.277
By changed lines,NotFound,17,/pkg/util/backoff_test.go,69,9.375
By changed lines,NotFound,17,/pkg/kubelet/dockertools/manager.go,56,7.609
By changed lines,NotFound,17,/pkg/kubelet/dockertools/manager_test.go,40,5.435
By changed lines,NotFound,17,/pkg/kubelet/container/image_puller.go,36,4.891
By changed lines,NotFound,17,/docs/user-guide/ui.md,23,3.125
All By number of commits to file,All,0,"",25011,100.0
All By number of commits to file,Google,1,"",12467,49.846
By number of commits to file,Google,1,/pkg,5428,43.539
By number of commits to file,Google,1,/docs,1479,11.863
By number of commits to file,Google,1,/test,1399,11.222
By number of commits to file,Google,1,/pkg/client,1256,10.075
By number of commits to file,Google,1,/test/e2e,1099,8.815
By number of commits to file,Google,1,/Godeps,1055,8.462
By number of commits to file,Google,1,/Godeps/_workspace/src,1014,8.133
By number of commits to file,Google,1,/pkg/kubelet,907,7.275
By number of commits to file,Google,1,/Godeps/_workspace/src/github.com,831,6.666
By number of commits to file,Google,1,/hack,807,6.473
By number of commits to file,Google,1,/cluster,745,5.976
By number of commits to file,Google,1,/pkg/client/unversioned,709,5.687
By number of commits to file,Google,1,/pkg/controller,635,5.093
By number of commits to file,Google,1,/pkg/registry,605,4.853
All By number of commits to file,Red Hat,2,"",7051,28.192
By number of commits to file,Red Hat,2,/pkg,2785,39.498
By number of commits to file,Red Hat,2,/Godeps,2497,35.413
By number of commits to file,Red Hat,2,/Godeps/_workspace/src,2466,34.974
By number of commits to file,Red Hat,2,/Godeps/_workspace/src/github.com,2177,30.875
By number of commits to file,Red Hat,2,/contrib,482,6.836
By number of commits to file,Red Hat,2,/contrib/mesos,467,6.623
By number of commits to file,Red Hat,2,/contrib/mesos/pkg,449,6.368
By number of commits to file,Red Hat,2,/pkg/kubectl,417,5.914
By number of commits to file,Red Hat,2,/pkg/api,370,5.247
By number of commits to file,Red Hat,2,/Godeps/_workspace/src/github.com/fsouza/go-dockerclient,365,5.177
By number of commits to file,Red Hat,2,/contrib/mesos/pkg/scheduler,357,5.063
By number of commits to file,Red Hat,2,/test,335,4.751
By number of commits to file,Red Hat,2,/pkg/client,330,4.68
All By number of commits to file,Epic Games,3,"",832,3.327
By number of commits to file,Epic Games,3,/Godeps,814,97.837
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com,812,97.596
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/jmespath/go-jmespath,673,80.889
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/jmespath/go-jmespath/fuzz,643,77.284
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/jmespath/go-jmespath/fuzz/corpus,642,77.163
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/aws/aws-sdk-go,129,15.505
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/aws,79,9.495
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/service,26,3.125
By number of commits to file,Epic Games,3,/Godeps/_workspace/src/github.com/aws/aws-sdk-go/aws/credentials,18,2.163
By number of commits to file,Epic Games,3,/pkg/cloudprovider/providers,17,2.043
All By number of commits to file,Huawei,4,"",766,3.063
By number of commits to file,Huawei,4,/pkg,397,51.828
By number of commits to file,Huawei,4,/docs,176,22.977
